"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"SGAM","Seaport Global Acquisition Corp. - Class A","12/09/2020","$140,875,000","N","1.00","1.00","1.00","0.00","14,375,000","25,277","0.18%","Analyze"
"SMMC","South Mountain Merger Corp. - Class A","07/29/2019","$375,000,000","Y","1.03","1.06","1.42","1.53","25,000,000","540,714","2.16%","Analyze"
"SNPR","Tortoise Acquisition Corp. II Class A","11/02/2020","$372,945,000","N","0.00","1.02","1.09","0.00","34,500,000","291,703","0.85%","Analyze"
"SOAC","Sustainable Opportunities Acquisition Corp. Class A","06/26/2020","$315,000,000","N","-14.45","1.01","1.05","-7,319.11","30,000,000","371,554","1.24%","Analyze"
"SPNV","Supernova Partners Acquisition Company, Inc. Class A","12/11/2020","$0","N","1.00","0.00","0.00","0.00","0","0","0.00%","Analyze"
"SRAC","Stable Road Acquisition Corp. - Class A","12/30/2019","$300,557,550","Y","1.04","1.12","1.64","1.80","17,795,000","1,419,802","7.98%","Analyze"
"SRSA","Sarissa Capital Acquisition Corp. - Class A","12/11/2020","$0","N","1.00","0.00","0.00","0.00","0","0","0.00%","Analyze"
"SSPK","Silver Spike Acquisition Corp. - Class A","10/01/2019","$360,000,000","Y","1.04","1.33","1.43","1.47","25,000,000","1,665,289","6.66%","Analyze"
"STPK","Star Peak Energy Transition Corp. Class A","10/08/2020","$645,190,037","N","1.04","1.29","1.60","1.74","38,358,504","2,703,447","7.05%","Analyze"
"STWO","ACON S2 Acquisition Corp. - Class A","11/10/2020","$250,500,000","N","0.00","1.00","1.00","0.00","25,000,000","72,732","0.29%","Analyze"
"SV","Spring Valley Acquisition Corp. - Class A","12/08/2020","$230,000,000","N","1.00","1.00","1.00","0.00","23,000,000","7,908","0.03%","Analyze"
"SVAC","Starboard Value Acquisition Corp. - Class A","11/02/2020","$407,468,406","N","0.00","1.00","1.06","0.00","40,423,453","57,393","0.14%","Analyze"
"TDAC","Trident Acquisitions Corp.","06/13/2018","$166,949,694","Y","1.17","1.14","1.28","3.07","11,967,720","851,663","7.12%","Analyze"
"THBR","Thunder Bridge Acquisition II, Ltd. - Class A","10/04/2019","$357,075,000","N","1.04","1.01","1.02","1.06","34,500,000","55,469","0.16%","Analyze"
"THCA","Tuscan Holdings Corp. II","07/30/2019","$233,067,500","N","1.00","1.02","1.07","1.34","21,987,500","209,464","0.95%","Analyze"
"THCB","Tuscan Holdings Corp.","03/27/2019","$570,630,960","Y","1.00","1.23","1.57","2.03","35,487,000","5,688,927","16.03%","Analyze"
"TMTS","Spartacus Acquisition Corporation - Class A","11/02/2020","$200,602,000","N","0.00","1.01","1.05","0.00","20,000,000","121,305","0.61%","Analyze"
"TOTA","Tottenham Acquisition I Limited","08/27/2018","$40,816,843","Y","1.22","0.99","1.03","1.92","3,710,386","6,018","0.16%","Analyze"
"TPGY","TPG Pace Beneficial Finance Corp. Class A","11/27/2020","$0","N","646.28","1.05","1.05","0.00","0","242,987","0.00%","Analyze"
"TREB","Trebia Acquisition Corp. Class A","08/07/2020","$531,990,000","N","0.00","1.01","1.02","0.00","51,750,000","152,652","0.30%","Analyze"
"TRNE","Trine Acquisition Corp. Class A","05/03/2019","$743,471,550","Y","1.05","1.51","2.32","2.55","30,015,000","3,215,131","10.71%","Analyze"
"TWCT","TWC Tech Holdings II Corp. - Class A","11/02/2020","$603,600,000","N","0.00","1.01","1.02","0.00","60,000,000","153,395","0.26%","Analyze"
"TWND","Tailwind Acquisition Corp. Class A","10/23/2020","$333,547,269","N","0.00","1.01","1.02","0.00","33,421,570","163,028","0.49%","Analyze"
"TZAC","Tenzing Acquisition Corp.","10/18/2018","$50,988,088","N","1.15","0.93","0.93","1.69","5,124,431","101,145","1.97%","Analyze"
"VACQ","Vector Acquisition Corporation - Class A","11/16/2020","$307,500,000","N","0.00","1.03","1.04","0.00","30,000,000","75,718","0.25%","Analyze"
"VGAC","VG Acquisition Corp. Class A","11/23/2020","$753,230,720","N","0.00","1.08","1.10","0.00","0","3,583,159","0.00%","Analyze"
"VIH","VPC Impact Acquisition Holdings - Class A","11/13/2020","$206,542,532","N","0.00","1.00","1.00","0.00","20,737,202","93,401","0.45%","Analyze"
"VMAC","Vistas Media Acquisition Company Inc. - Class A","08/21/2020","$113,300,000","N","0.00","1.01","1.02","0.00","11,330,000","45,023","0.40%","Analyze"
"VSPR","Vesper Healthcare Acquisition Corp. - Class A","11/20/2020","$500,020,000","Y","0.00","1.05","1.04","0.00","46,000,000","1,301,822","2.83%","Analyze"
"VYGG","Vy Global Growth Class A","11/20/2020","$0","N","0.00","1.02","1.03","0.00","0","140,764","0.00%","Analyze"
"WPF","Foley Trasimene Acquisition Corp. Class A","07/17/2020","$1,117,800,000","N","0.00","1.03","1.05","0.00","103,500,000","447,062","0.43%","Analyze"
"YAC","Yucaipa Acquisition Corporation Class A","09/24/2020","$348,450,000","N","0.00","1.01","1.02","0.00","34,500,000","73,908","0.21%","Analyze"
"YSAC","Yellowstone Acquisition Company - Class A","12/08/2020","$138,028,815","N","0.00","1.50","1.50","0.00","13,598,898","90,273","0.66%","Analyze"
"ZGYH","Yunhong International - Class A","04/03/2020","$71,548,133","N","1.04","1.00","1.01","1.07","7,219,500","9,833","0.14%","Analyze"
